                                N054.59.59.789 E023.29.29.468 N055.00.28.390 E023.29.35.838
                                N055.00.28.390 E023.29.35.838 N055.00.56.894 E023.29.43.405
                                N055.00.56.894 E023.29.43.405 N055.01.25.284 E023.29.52.167
                                N055.01.25.284 E023.29.52.167 N055.01.53.546 E023.30.02.118
                                N055.01.53.546 E023.30.02.118 N055.02.21.661 E023.30.13.254
                                N055.02.21.661 E023.30.13.254 N055.02.49.614 E023.30.25.568
                                N055.02.49.614 E023.30.25.568 N055.03.17.388 E023.30.39.055
                                N055.03.17.388 E023.30.39.055 N055.03.44.968 E023.30.53.707
                                N055.03.44.968 E023.30.53.707 N055.04.12.337 E023.31.09.516
                                N055.04.12.337 E023.31.09.516 N055.04.39.479 E023.31.26.474
                                N055.04.39.479 E023.31.26.474 N055.05.06.378 E023.31.44.571
                                N055.05.06.378 E023.31.44.571 N055.05.33.019 E023.32.03.798
                                N055.05.33.019 E023.32.03.798 N055.05.59.386 E023.32.24.143
                                N055.05.59.386 E023.32.24.143 N055.06.25.464 E023.32.45.596
                                N055.06.25.464 E023.32.45.596 N055.06.51.238 E023.33.08.145
                                N055.06.51.238 E023.33.08.145 N055.07.16.691 E023.33.31.777
                                N055.07.16.691 E023.33.31.777 N055.07.41.811 E023.33.56.479
                                N055.07.41.811 E023.33.56.479 N055.08.06.581 E023.34.22.236
                                N055.08.06.581 E023.34.22.236 N055.08.31.000 E023.34.49.000

EYKA-B                          N055.15.14.000 E023.22.14.000 N055.17.05.000 E023.47.42.000
                                N055.17.05.000 E023.47.42.000 N055.15.00.000 E024.38.41.000
                                N055.15.00.000 E024.38.41.000 N054.48.02.000 E024.41.20.000
                                N054.48.02.000 E024.41.20.000 N054.41.43.000 E024.25.06.000
                                N054.41.43.000 E024.25.06.000 N054.42.39.000 E024.00.43.000
                                N054.42.39.000 E024.00.43.000 N054.37.43.000 E023.34.52.000
                                N054.37.43.000 E023.34.52.000 N054.47.04.000 E023.21.45.000
                                N054.47.04.000 E023.21.45.000 N054.59.45.000 E023.14.41.000
                                N054.59.45.000 E023.14.41.000 N055.15.14.000 E023.22.14.000

EYKA-C                          N055.25.09.000 E023.07.30.000 N055.27.51.000 E023.48.45.000
                                N055.27.51.000 E023.48.45.000 N055.20.40.000 E024.38.13.000
                                N055.20.40.000 E024.38.13.000 N055.15.00.000 E024.38.41.000
                                N055.15.00.000 E024.38.41.000 N055.17.05.000 E023.47.42.000
                                N055.17.05.000 E023.47.42.000 N055.15.14.000 E023.22.14.000
                                N055.15.14.000 E023.22.14.000 N054.59.45.000 E023.14.41.000
                                N054.59.45.000 E023.14.41.000 N054.47.04.000 E023.21.45.000
                                N054.47.04.000 E023.21.45.000 N054.37.43.000 E023.34.52.000
                                N054.37.43.000 E023.34.52.000 N054.42.39.000 E024.00.43.000
                                N054.42.39.000 E024.00.43.000 N054.41.43.000 E024.25.06.000
                                N054.41.43.000 E024.25.06.000 N054.35.34.000 E024.09.26.000
                                N054.35.34.000 E024.09.26.000 N054.29.27.000 E023.18.53.000
                                N054.29.27.000 E023.18.53.000 N055.04.26.000 E022.57.47.000
                                N055.04.26.000 E022.57.47.000 N055.25.09.000 E023.07.30.000
